Note Extraction from 1674.mid
----------------------------------------

--- Track 0:  ---

--- Track 1: FLUTE ---
Time: 89088, Note: 70, Velocity: 123
Time: 89088, Note: 70, Velocity: 123
Time: 90816, Note: 82, Velocity: 123
Time: 90816, Note: 82, Velocity: 123
Time: 91008, Note: 82, Velocity: 123
Time: 91008, Note: 82, Velocity: 123
Time: 91200, Note: 82, Velocity: 123
Time: 91200, Note: 82, Velocity: 123
Time: 91392, Note: 82, Velocity: 123
Time: 91392, Note: 82, Velocity: 123
Time: 92352, Note: 77, Velocity: 123
Time: 92352, Note: 86, Velocity: 123
Time: 92544, Note: 77, Velocity: 123
Time: 92544, Note: 86, Velocity: 123
Time: 92736, Note: 77, Velocity: 123
Time: 92736, Note: 86, Velocity: 123
Time: 92928, Note: 79, Velocity: 123
Time: 92928, Note: 87, Velocity: 123
Time: 108480, Note: 86, Velocity: 91
Time: 108480, Note: 91, Velocity: 91
Time: 108672, Note: 86, Velocity: 101
Time: 108672, Note: 91, Velocity: 101
Time: 108864, Note: 86, Velocity: 109
Time: 108864, Note: 89, Velocity: 109
Time: 109056, Note: 84, Velocity: 115
Time: 109056, Note: 87, Velocity: 115
Time: 109824, Note: 84, Velocity: 115
Time: 109824, Note: 84, Velocity: 115
Time: 110592, Note: 83, Velocity: 115
Time: 110592, Note: 91, Velocity: 115
Time: 111552, Note: 80, Velocity: 123
Time: 111552, Note: 80, Velocity: 123
Time: 111744, Note: 80, Velocity: 123
Time: 111744, Note: 80, Velocity: 123
Time: 111936, Note: 80, Velocity: 123
Time: 111936, Note: 80, Velocity: 123
Time: 112128, Note: 77, Velocity: 123
Time: 112128, Note: 77, Velocity: 123
Time: 124416, Note: 84, Velocity: 123
Time: 124416, Note: 84, Velocity: 123
Time: 125184, Note: 84, Velocity: 123
Time: 125184, Note: 84, Velocity: 123
Time: 125952, Note: 84, Velocity: 123
Time: 125952, Note: 84, Velocity: 123
Time: 126720, Note: 84, Velocity: 123
Time: 126720, Note: 84, Velocity: 123
Time: 127488, Note: 83, Velocity: 123
Time: 127488, Note: 86, Velocity: 123
Time: 128256, Note: 84, Velocity: 115
Time: 128256, Note: 87, Velocity: 115
Time: 131328, Note: 86, Velocity: 115
Time: 131328, Note: 89, Velocity: 115
Time: 134016, Note: 84, Velocity: 115
